路径	类型	是否源码编译单元	是否头文件或模块接口	是否生成物	是否纳入结构体审计	纳入理由
本能动作管理类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
本能动作类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
本能方法类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
本能方法类.h	h	是	是	否	是	纳入：当前源码扩展
本能线程类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
场景类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
场景类.h	h	是	是	否	是	纳入：当前源码扩展
场景索引同步.h	h	是	是	否	是	纳入：当前源码扩展
存在类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
存在类.h	h	是	是	否	是	纳入：当前源码扩展
动态类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
动态类.h	h	是	是	否	是	纳入：当前源码扩展
动作闭环特征定义.h	h	是	是	否	是	纳入：当前源码扩展
动作闭环特征定义.ixx	ixx	是	是	否	是	纳入：当前源码扩展
动作线程类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
动作验证报告类.h	h	是	是	否	是	纳入：当前源码扩展
动作验证报告类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
度量模板注册表类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
度量模板注册表桥接.cpp	cpp	是	否	否	是	纳入：当前源码扩展
度量模板注册表桥接.h	h	是	是	否	是	纳入：当前源码扩展
二次特征类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
二次特征类.h	h	是	是	否	是	纳入：当前源码扩展
二次特征类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
二次特征应用模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
方法节点类型.h	h	是	是	否	是	纳入：当前源码扩展
方法类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
方法类.h	h	是	是	否	是	纳入：当前源码扩展
方法信息类型.h	h	是	是	否	是	纳入：当前源码扩展
方法虚拟存在服务类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
方法虚拟存在服务类.h	h	是	是	否	是	纳入：当前源码扩展
方法主信息类.h	h	是	是	否	是	纳入：当前源码扩展
基础数据类型.h	h	是	是	否	是	纳入：当前源码扩展
基础数据类型.ixx	ixx	是	是	否	是	纳入：当前源码扩展
基础信息节点类型.h	h	是	是	否	是	纳入：当前源码扩展
基础信息类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
基础信息类.h	h	是	是	否	是	纳入：当前源码扩展
基础信息主信息类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
基础信息主信息类.h	h	是	是	否	是	纳入：当前源码扩展
旧_外设线程_D455深度相机.ixx	ixx	是	是	否	是	纳入：当前源码扩展
控制面板类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
控制面板类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
控制面板摘要线程模块.impl.cpp	cpp	是	否	否	是	纳入：当前源码扩展
控制面板摘要线程模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
控制面板WebView2.cpp	cpp	是	否	否	是	纳入：当前源码扩展
控制面板WebView2.ixx	ixx	是	是	否	是	纳入：当前源码扩展
全局共享函数类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务节点类型.h	h	是	是	否	是	纳入：当前源码扩展
任务类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
任务类.h	h	是	是	否	是	纳入：当前源码扩展
任务模块.筹办.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.工作线程消息协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.工作线程协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.管理工作线程.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.管理工作线程协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.管理界面线程.impl.cpp	cpp	是	否	否	是	纳入：当前源码扩展
任务模块.管理界面线程.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.管理线程协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.实体.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.运行包.impl.cpp	cpp	是	否	否	是	纳入：当前源码扩展
任务模块.运行包.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.执行.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.治理协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
任务信息类型.h	h	是	是	否	是	纳入：当前源码扩展
任务主信息类.h	h	是	是	否	是	纳入：当前源码扩展
日志接入.h	h	是	是	否	是	纳入：当前源码扩展
日志模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
世界树类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
世界树类.h	h	是	是	否	是	纳入：当前源码扩展
数据库ADO模块.cpp	cpp	是	否	否	是	纳入：当前源码扩展
数据库ADO模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
双目相机本能适配器.cpp	cpp	是	否	否	是	纳入：当前源码扩展
双目相机本能适配器.h	h	是	是	否	是	纳入：当前源码扩展
双向链表模板_深拷贝.inl	inl	是	是	否	是	纳入：当前源码扩展
双向链表模板_序列化.inl	inl	是	是	否	是	纳入：当前源码扩展
双向链表模板核心.h	h	是	是	否	是	纳入：当前源码扩展
特征类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
特征类.h	h	是	是	否	是	纳入：当前源码扩展
特征值类.h	h	是	是	否	是	纳入：当前源码扩展
特征值主信息类.h	h	是	是	否	是	纳入：当前源码扩展
外设观察报告队列.ixx	ixx	是	是	否	是	纳入：当前源码扩展
外设线程_D455深度相机.ixx	ixx	是	是	否	是	纳入：当前源码扩展
线程生命周期消息模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
相机接口类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
详细设计\因果类用途接口草案20260516.ixx	ixx	是	是	否	是	纳入：当前源码扩展
需求节点类型.h	h	是	是	否	是	纳入：当前源码扩展
需求类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
需求类.h	h	是	是	否	是	纳入：当前源码扩展
需求信息类型.h	h	是	是	否	是	纳入：当前源码扩展
需求主信息类.h	h	是	是	否	是	纳入：当前源码扩展
因果类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
因果类.h	h	是	是	否	是	纳入：当前源码扩展
鱼巢.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语素节点类型.h	h	是	是	否	是	纳入：当前源码扩展
语素类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语素类.h	h	是	是	否	是	纳入：当前源码扩展
语素信息类型.h	h	是	是	否	是	纳入：当前源码扩展
语素主信息类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语素主信息类.h	h	是	是	否	是	纳入：当前源码扩展
语言节点类型.h	h	是	是	否	是	纳入：当前源码扩展
语言类_存在表达.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语言类_二次特征表达.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语言类_基础信息命名.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语言类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
语言类.h	h	是	是	否	是	纳入：当前源码扩展
语言主信息类.h	h	是	是	否	是	纳入：当前源码扩展
预处理开关变量.h	h	是	是	否	是	纳入：当前源码扩展
状态类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
状态类.h	h	是	是	否	是	纳入：当前源码扩展
自检线程模块.impl.cpp	cpp	是	否	否	是	纳入：当前源码扩展
自检线程模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现.服务模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现.内部模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现.扫描.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现.外部模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现.外设模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我动作实现模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我类.初始化.cpp	cpp	是	否	否	是	纳入：当前源码扩展
自我类.初始化.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我类.特征定义.cpp	cpp	是	否	否	是	纳入：当前源码扩展
自我类.特征定义.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
自我类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我线程模块.消息处理器.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我线程模块.消息路由.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我线程模块.消息批次执行器.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我线程模块.消息协议.ixx	ixx	是	是	否	是	纳入：当前源码扩展
自我线程模块.impl.cpp	cpp	是	否	否	是	纳入：当前源码扩展
自我线程模块.ixx	ixx	是	是	否	是	纳入：当前源码扩展
D455相机类.cpp	cpp	是	否	否	是	纳入：当前源码扩展
D455相机类.ixx	ixx	是	是	否	是	纳入：当前源码扩展
third_party\webview2\1.0.3856.49\pkg\build\native\include-winrt\WebView2Interop.h	h	是	是	否	是	纳入：当前源码扩展
third_party\webview2\1.0.3856.49\pkg\build\native\include\WebView2.h	h	是	是	否	是	纳入：当前源码扩展
third_party\webview2\1.0.3856.49\pkg\build\native\include\WebView2EnvironmentOptions.h	h	是	是	否	是	纳入：当前源码扩展
WebView2导入.h	h	是	是	否	是	纳入：当前源码扩展
